2025-05-24 19:07:40,815 - VPA - INFO - Starting VPA LLM Training Data Generation Example...
2025-05-24 19:07:40,818 - VPA - INFO - Generating training data for NVDA
2025-05-24 19:07:40,818 - VPA - INFO - Loading historical data for NVDA from 2025-01-01 to 2025-03-01
2025-05-24 19:07:40,818 - VPA - ERROR - Error loading historical data: PolygonIOProvider.get_data() got an unexpected keyword argument 'start_date'
2025-05-24 19:07:40,818 - VPA - ERROR - Failed to load sufficient historical data for NVDA. Aborting.
2025-05-24 19:09:26,045 - VPA - INFO - Starting VPA LLM Training Data Generation Example...
2025-05-24 19:09:26,049 - VPA - INFO - Generating training data for NVDA
2025-05-24 19:09:26,049 - VPA - INFO - Loading historical data for NVDA from 2024-01-01 to 2025-01-01
2025-05-24 19:09:26,049 - VPA - ERROR - Error loading historical data: PolygonIOProvider.get_data() got an unexpected keyword argument 'start_date'
2025-05-24 19:09:26,050 - VPA - ERROR - Failed to load sufficient historical data for NVDA. Aborting.
2025-05-24 19:39:43,983 - VPA - INFO - Starting VPA LLM Training Data Generation Example...
2025-05-24 19:39:43,985 - VPA - INFO - Generating training data for AAPL
2025-05-24 19:39:43,985 - VPA - INFO - Loading historical data for AAPL from 2024-01-01 to 2025-01-01
2025-05-24 19:39:44,993 - VPA - INFO - Loaded 252 rows for 1d
2025-05-24 19:39:45,750 - VPA - INFO - Loaded 1043 rows for 1h
2025-05-24 19:39:45,751 - VPA - INFO - Starting training data generation for AAPL into ./llm_training_data\AAPL_vpa_training_data.jsonl
2025-05-24 19:39:45,751 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:46,934 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:47,760 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:48,052 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:48,524 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:48,888 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:49,366 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:49,648 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:50,122 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:50,445 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:50,957 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:51,257 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:51,752 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:52,041 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:52,531 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:52,844 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:53,342 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:53,620 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:54,120 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:54,441 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:55,278 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:55,568 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:56,396 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:56,678 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:57,172 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:57,450 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:57,966 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:58,287 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:39:59,123 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:39:59,423 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:00,238 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:00,522 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:01,363 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:01,643 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:02,439 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:02,722 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:03,442 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:03,716 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:04,247 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:04,525 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:05,361 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:05,653 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
